neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom1fapqgamx3c8za8d3z56sydjtjygyu0ly752j8g,141,dabitfather,0.8750125593392928,1761511,17,335442695717,2021-12-24T01:50:45
bostrom143dfs4ur5gjvwgx8l54jjz27rq57us0zz3hqj0,142,👤,0,1000,15,13639911110,2021-12-24T14:30:43
bostrom1j39uxls4clq76ej7mk2tdskvql2tdp2zek8g89,143,👤,0,1000,2,544143061,2021-12-26T21:21:20
bostrom1v66dh3mv5eywxh0yuftxyyk2lue9yzxanxf44x,144,ulucyb,0,203074,4,17403522647,2021-12-28T05:59:50
bostrom16gp3yf6764v4gsc2re3ugyrfpxwwv7nqe76hl5,145,kinszki,0,17099,11,9027484232,2021-12-28T07:57:56
bostrom1j9f4muf7t5n70f67j8hgyp3nf833ff2p5lsd4u,146,👤,0,1155,2,37895064,2021-12-28T18:26:21
bostrom1pvcm3nx4qtuljps2uu6c7teaqmzr9jvlwj9hks,147,tkboot123,0,14794,3,692497424,2021-12-29T09:06:02
bostrom12y2l4wfnw2fvw82yj2s4mjn9nv2wz6du3sh8gc,148,👤,0.03614426053472216,10979,3,512996094,2021-12-30T16:37:21
bostrom1jjrqqlrcr308dg9adwkjrm2kn9ws2gkg4nnfuw,149,psycoach,0.8163042757459141,6135910,715,16697846035353,2021-12-30T16:39:50
bostrom194tu69vc3uhrn4dplxnrryuztqd7slv4aey6ps,150,👤,0,25879,5,4448659895,2021-12-30T16:52:57
bostrom1r89rhnhg5e25fzxd6wqfz6eplzqw7t9dql32l4,151,👤,0,73508,2,4053087540,2021-12-30T17:07:34
bostrom1l6yzpysst9ky3eegx270jzn96e444e5l3utu0g,152,paulenessak,0,10170,2,637997038,2021-12-31T16:04:33
bostrom1fkwnrnmqzgnr8vvjw7eudv6j4ggvft6t9e39fz,153,daddyxep,0,5467,5,290989713,2022-01-01T01:22:09
bostrom14pghfarja6a9q93ug9hfsuc7w6fs46kln4d26s,154,bclimin81,0,2344,15,50657322,2022-01-03T02:00:52
bostrom17najgwt7l2jelehffje0t9n7az9s288ep96534,155,stephen,0.7707935536724426,104597,24,259110723191,2022-01-03T13:06:44
bostrom10zr5rvwjghe97unzjg7uzgm8rpym9e2thmlnh0,156,librenetwork,0.03496294677302304,131238,24,43205656276,2022-01-04T11:07:48
bostrom1xflmsjaxtljahaf6wlgkr565p9jwssef7jdfxk,157,abcdefg564564,0,16590,4,647476513,2022-01-04T18:56:43
bostrom14y59mu86g6tfrjk75xe3h5h3nnr60nlegakzu6,158,kotlasr,0,1000,47,6129218789,2022-01-04T20:05:57
bostrom1mk9gdnjjn29l486mq68y6p98e2jjyln0upxnf9,159,shr123,0,2000,43,11485684618,2022-01-04T20:14:17
